1,Королево,Королево,22,,,48.14724,23.14631,false
2,Берегове,Береговое,22,,,48.20543,22.64591,false
3,Неветленфолу,Неветленфолу,22,,,48.01609,22.99593,false
4,Берегуйфалу,Берегуйфалу,22,,,48.27650,22.80779,false
5,Хмільник,Хмельник,22,,,48.27976,22.90546,false
6,Кам'янське,Каменское,22,,,48.27976,22.93842,false
7,Великі Береги,Великие Берега,22,,,48.23152,22.75045,false
8,Велика Бийгань,Большая Быйгань,22,,,48.24800,22.57485,false
9,Дийда,Дыйда,22,,,48.21899,22.57433,false
10,Чома,Чома,22,,,48.13539,22.63304,false
11,Бадалово,Бодалово,22,,,48.10982,22.63578,false
12,Вари,Вары,22,,,48.12509,22.71046,false
13,Боржава,Боржава,22,,,48.15634,22.72162,false
14,Мужієво,Мужиево,22,,,48.18020,22.70582,false
15,Бене,Бэнэ,22,,,48.16629,22.75698,false
16,Косонь,Косонь,22,,,48.25573,22.45520,false
17,Запсонь,Запсонь,22,,,48.27993,22.46996,false
18,Шаланки,Шаланки,22,,,48.22775,22.88384,false
19,Пушкіно,Пушкино,22,,,48.17299,22.85997,false
20,Вербовець,Вербовец,22,,,48.16801,22.90873,false
21,Підвиноградів,Подвиноградов,22,,,48.13728,23.00125,false
22,Нове Село,Новое Село,22,,,48.11806,22.89036,true
23,Фанчиково,Фанчиково,22,,,48.11376,22.94340,false
24,Тросник,Тростник,22,,,48.09986,22.95044,false
25,Ботар,Ботар,22,,,48.02656,22.97018,false
26,Великі Ком'яти,Великие Комяты,22,,,48.23856,22.97894,false
27,Вільхівка,Ольховка,22,,,48.26345,23.07386,false
28,Боржавське,Боржавское,22,,,48.25470,23.05567,false
29,Великий Раковець,Большой Раковец,22,,,48.27083,23.16759,false
30,Рокосово,Рокосово,22,,,48.20869,23.17909,false
31,Велика Копаня,Большая Копаня,22,,,48.19153,23.12794,false
32,Букове,Буковое,22,,,48.18106,23.07009,false
33,Чепа,Чепа,22,,,48.06913,23.01842,false
34,Чорнотисів,Чернотисов,22,,,48.07823,23.05361,false
35,Дюла,Дюла,22,,,48.03411,23.07781,false
36,Сасово,Сасово,22,,,48.09437,23.07541,false
37,Теково,Теково,22,,,48.12355,23.09927,false
38,Хижа,Хижа,22,,,48.10896,23.20656,false
39,Черна,Черна,22,,,48.13694,23.19111,false
40,Фертешолмаш,Фертешолмаш,22,,,47.98090,22.92692,false
41,Тисобикень,Тисобикень,22,,,48.07239,22.89602,false
42,Гудя,Гудя,22,,,48.11514,23.12536,false
43,Новоселиця,Новоселица,22,,,48.12939,23.22579,true
